params.cv_hash,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,metrics.n_process_stages,metrics.process_stage_width,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.rtp_similarity_h_1,metrics.rtp_similarity_h_2,metrics.rtp_similarity_h_3,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_10,metrics.rtp_similarity_h_15,metrics.rtp_similarity_h_20,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.rtp_duration,metrics.nap_eval_duration,metrics.rtp_eval_duration,metrics.total_run_time,metrics.avg_pruned_patterns_per_stage,metrics.avg_unpruned_patterns_per_stage
252336560693540533935881068298825202077_4,BPI2012_Full,0.0,17.0,176.0,1.0,0.7865548668740476,0.6729452422771244,0.4225320982056262,0.9842200798383723,0.9605469135300992,0.9339018300443538,0.8846554706259759,0.7775114938478074,0.6864809368338562,0.6136072777689707,0.00010170720861286657,5.631079238002712,167.26587339899925,196.62438475900126,208.74437118579954,0.08569560859978083,47.067846434601236,11079.4159212204,0.0,2448.3136512941796
252336560693540533935881068298825202077_5,BPI2012_Full,0.0,21.0,176.0,1.0,0.8075678092362646,0.672257486882892,0.43215966035689435,0.9844001873840356,0.9612183931792945,0.9351389993846091,0.8877502472014506,0.7848423409002571,0.6964684605883151,0.627161149749106,0.00010170720861286657,5.631079238002712,167.26587339899925,195.05264646820288,208.26755922199808,0.08758314039732795,47.38359844820225,13339.656961403001,0.0,2448.3136512941796
47482295457342411543800303662309855831_0,BPI2012_Full,0.025,3.0,35.8,5.0,0.8440698589082368,0.6672021529063912,0.21221548178206834,0.9924004533165013,0.9842327048873978,0.9783500270957981,0.9686809482503745,0.9343945039786213,0.8930533878637865,0.8475438876161278,0.00010170720861286657,3.1650236409986974,163.77617955900496,146.9648017856016,387.11341298220066,0.08931549600092695,67.06351254079637,1986.1347968572022,0.0,7382.359682539682
47482295457342411543800303662309855831_1,BPI2012_Full,0.025,5.0,35.8,5.0,0.5295112773175953,0.5547398501358043,0.3188315302045766,0.9595481454877672,0.9153961645615272,0.870368964792019,0.7893884756250793,0.6478415228070507,0.5512442827281087,0.4820548865502287,0.00010170720861286657,3.1650236409986974,163.77617955900496,151.32551756800095,175.38748331660025,0.08883267619967228,45.779617811001664,4315.710582916401,0.0,7382.359682539682
47482295457342411543800303662309855831_2,BPI2012_Full,0.025,7.0,35.8,5.0,0.6970847765337712,0.6412373079705826,0.36858095406769903,0.9765642532804554,0.9379771061385387,0.9012396803433624,0.8327027393820238,0.6977429165859909,0.5947580703189743,0.5192395633498625,0.00010170720861286657,3.1650236409986974,163.77617955900496,150.40118263540063,174.71158053640102,0.08696135079953819,47.82299752539984,6177.315001162203,0.0,7382.359682539682
47482295457342411543800303662309855831_3,BPI2012_Full,0.025,11.0,35.8,5.0,0.7827382045616051,0.6797446931934455,0.3980274294702747,0.984308934549583,0.9586513032481886,0.9277348709573644,0.8689420209323471,0.7513782535455501,0.660760705075884,0.594711831080191,0.00010170720861286657,3.1650236409986974,163.77617955900496,156.2738801422005,183.89716333539982,0.08828566900047008,50.20674995820009,8077.022046301402,0.0,7382.359682539682
47482295457342411543800303662309855831_4,BPI2012_Full,0.025,17.0,35.8,5.0,0.7869842968607011,0.6781871384586726,0.4321617017123092,0.9847464820134965,0.9602612832074516,0.9312359943398982,0.87730410722001,0.7603318816428293,0.6637811743893892,0.5924110762908443,0.00010170720861286657,3.1650236409986974,163.77617955900496,155.53032623239852,180.62907653820147,0.08532893380179303,49.74309383319924,10014.782239235203,0.0,7382.359682539682
47482295457342411543800303662309855831_5,BPI2012_Full,0.025,21.0,35.8,5.0,0.8098805397230636,0.6781776421096508,0.43995278972165497,0.9852975869565412,0.9621173475606797,0.9354446637746386,0.8870140074040448,0.7810665086039822,0.6912223133242268,0.623537804403261,0.00010170720861286657,3.1650236409986974,163.77617955900496,156.2216535897998,188.70509424239717,0.0867654832007247,49.027010411801164,11959.0375416804,0.0,7382.359682539682
252036172554514852379917073716435574953_0,BPI2012_Full,0.1,3.0,10.0,18.0,0.8350978453759508,0.6571643040507622,0.16641389689772823,0.9931084086851518,0.9860353014295062,0.9817017076787906,0.9758781978344178,0.9539535573403137,0.9272177376103026,0.8975098087814615,0.00010170720861286657,3.1297126919962466,192.70674685999984,121.21999346919911,521.3511915304028,0.09446834300033516,83.68662727219926,2375.3786806930016,0.0,17551.66
252036172554514852379917073716435574953_1,BPI2012_Full,0.1,5.0,10.0,18.0,0.5241071724233585,0.5425615158491967,0.3115939583490629,0.958382820152804,0.9137779101731892,0.868488370066804,0.7829088053760527,0.6372165197378492,0.5403715264292441,0.4721350257888258,0.00010170720861286657,3.1297126919962466,192.70674685999984,120.4682410576017,130.22216437799943,0.08875596380094067,45.63157991680055,4716.974912566002,0.0,17551.66
252036172554514852379917073716435574953_2,BPI2012_Full,0.1,7.0,10.0,18.0,0.6727022917434404,0.6283162322817799,0.3586780587417252,0.9744968511823823,0.9335427081959967,0.8953046902558531,0.8233102930142129,0.6839128268302191,0.5812446121831415,0.5065259729515603,0.00010170720861286657,3.1297126919962466,192.70674685999984,119.67795765519986,128.28848793280048,0.0860223906012834,47.34044084079942,6196.5342324536,0.0,17551.66
252036172554514852379917073716435574953_3,BPI2012_Full,0.1,11.0,10.0,18.0,0.781549509681825,0.6722804939419567,0.40043887459709976,0.9841650872016213,0.9573762877986731,0.9246080110878607,0.8639554765685242,0.7416697181098186,0.6492649099337998,0.5809935140308287,0.00010170720861286657,3.1297126919962466,192.70674685999984,119.3077051002023,131.96271930200018,0.08947031359857646,49.076486538999596,7686.635189108803,0.0,17551.66
252036172554514852379917073716435574953_4,BPI2012_Full,0.1,17.0,10.0,18.0,0.7733223256260341,0.6741953195359134,0.42922396927230083,0.9831935396912923,0.9570901692694079,0.9265244663906081,0.8724888220653387,0.7535785296527748,0.6554935897368599,0.5838343700939062,0.00010170720861286657,3.1297126919962466,192.70674685999984,120.14740256520017,129.36475885140243,0.08686997359909583,48.58597330499761,9185.808308459802,0.0,17551.66
252036172554514852379917073716435574953_5,BPI2012_Full,0.1,21.0,10.0,18.0,0.8138426559790582,0.6800900446990574,0.44488390439212316,0.9854999119070399,0.9619475024542258,0.9340135569006879,0.8834306389022382,0.7734931397469329,0.6799631568426434,0.6116371834890293,0.00010170720861286657,3.1297126919962466,192.70674685999984,121.95317867659905,132.24761150539854,0.08948586160258856,49.107264568800744,10692.704724794201,0.0,17551.66
200934189435493509245876840523779924304_0,BPI2012_Full,0.2,3.0,5.0,35.8,0.8331062493182678,0.6523536651479099,0.17043790047591054,0.9930615559734068,0.9859767546158487,0.9816007678521252,0.9756727256604039,0.9529030956904005,0.9250588254365306,0.8940355967411311,0.00010170720861286657,3.3071026840043487,227.36539272299706,123.10079273079609,748.5509547552065,0.0914619784016395,86.29170394119282,3096.5979564068025,0.0,29906.359999999997
200934189435493509245876840523779924304_1,BPI2012_Full,0.2,5.0,5.0,35.8,0.4926820315472435,0.5218070063049606,0.3083879122854878,0.9579461470617503,0.9138230404423175,0.8686709753289665,0.7777308542765926,0.6270474368206788,0.5256784894698361,0.45835275758718447,0.00010170720861286657,3.3071026840043487,227.36539272299706,116.74886527020135,144.92677289359852,0.08690968739974778,47.72406754500116,5948.157630913799,0.0,29906.359999999997
