approach,params.dataset,training_duration_for_eval,inference_duration_for_eval,metrics.nap_accuracy,metrics.rtp_similarity
Polato,Nasa,12.548275179986376,948.7100468330028,0.7826144482667372,0.3907697962611416
Polato,Sepsis,5.21457253000699,537.105800172023,0.4542665923034021,0.3595494422563161
Polato,Sepsis,5.21457253000699,124.17075164298876,0.4029049573729081,0.3952423723104222
Polato,Sepsis,5.21457253000699,229.32704101200216,0.4182174338883447,0.3814898819325668
Polato,Sepsis,5.21457253000699,394.2264272419852,0.4041666666666667,0.3952364920468603
Polato,Sepsis,5.21457253000699,94.1576168719912,0.4743715311785831,0.3970002556241213
Polato,EnvPermit,7.54431118699722,0.8025574240018614,0.8380710659898477,0.8147936204169413
Polato,EnvPermit,7.54431118699722,0.7320618800004013,0.8621212121212121,0.843727186814309
Polato,EnvPermit,7.54431118699722,0.9216246790019796,0.8538011695906432,0.8340914606762823
Polato,EnvPermit,7.54431118699722,0.9863791200041304,0.8308605341246291,0.8063317295116977
Polato,EnvPermit,7.54431118699722,1.1802025900105946,0.8459989934574735,0.8269243086346979
Polato,BPI2013_Incidents,104.0597214110021,1790.93305064601,0.5545643153526971,0.5463141835276685
Polato,BPI2013_Incidents,104.0597214110021,1308.934676091012,0.5514705882352942,0.5565558886411136
Polato,BPI2013_Incidents,104.0597214110021,1489.3171520389733,0.5581862236067844,0.549300558005803
Polato,BPI2013_Incidents,104.0597214110021,1041.2881548820003,0.5602599035841542,0.5571485110901313
Polato,BPI2013_Incidents,104.0597214110021,1205.5669306440104,0.5613619440871861,0.5432013898961318
Polato,BPI2013_Closed,13.311888591997558,1.400998630997492,0.5883507853403142,0.6799422280990541
Polato,BPI2013_Closed,13.311888591997558,1.916580534016248,0.5620795107033639,0.6852865502020863
Polato,BPI2013_Closed,13.311888591997558,2.504326719994424,0.551909307875895,0.6608863066565985
Polato,BPI2013_Closed,13.311888591997558,3.18657581100706,0.5776583034647551,0.6790275623849894
Polato,BPI2013_Closed,13.311888591997558,2.2909209100180306,0.572827417380661,0.6859971582804351
Polato,Helpdesk,47.91695600101957,1.1392785560165066,0.6791187739463601,0.8504470237085152
Polato,Helpdesk,47.91695600101957,1.5457300249836408,0.6820011500862565,0.8706615791722254
Polato,Helpdesk,47.91695600101957,1.4822566630027725,0.6914541561222504,0.8776088159239885
Polato,Helpdesk,47.91695600101957,1.2174496410007123,0.6884801548886738,0.860399983473553
Polato,Helpdesk,47.91695600101957,1.4181332970038056,0.6899209867026402,0.7891018854595595
BEST,BPI2019,1218.1428807970078,305.82561132102273,0.7185617406237956,0.7151356978907702
BEST,BPI2019,1218.1428807970078,213.01662420699722,0.7198668730336965,0.7127054298014843
BEST,BPI2019,1218.1428807970078,184.4307603490015,0.7092972841145427,0.7147222869496299
BEST,BPI2019,1218.1428807970078,212.24980265001068,0.715898966874771,0.7144008639273761
BEST,BPI2019,1218.1428807970078,289.47956989798695,0.7198478300110006,0.7204058868687553
BEST,BPI2019,1179.7248967390042,328.51827518301434,0.7177334838844903,0.7078395600579425
BEST,BPI2019,1179.7248967390042,196.83188656999846,0.7226690135858295,0.7164809874245051
BEST,BPI2019,1179.7248967390042,170.73769813400577,0.7206309742366864,0.7174732628231223
BEST,BPI2019,1179.7248967390042,198.1914606159844,0.7152433878976759,0.7157212680576868
BEST,BPI2019,1179.7248967390042,287.30558503998327,0.7232127348706998,0.7220700103075972
BEST,BPI2019,1125.253856187992,305.8662069510028,0.7234467650658211,0.7216396838186973
BEST,BPI2019,1125.253856187992,191.24631285200303,0.7218664751364822,0.7256876583344775
BEST,BPI2019,1125.253856187992,184.47067142599553,0.7228055794543841,0.7236447609197385
BEST,BPI2019,1125.253856187992,206.08959192300972,0.7239440976039428,0.7222872034175775
BEST,BPI2019,1125.253856187992,283.7057963970001,0.7265980743752959,0.728784202370499
